ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/fuse-3.1.0	426644ec400bf350b9e6272207f49764f62a8cec	tag	d2ed5539fc406008816e9c65b44e2f1d0554ffbe	commit	2017-07-08T12:48:58+02:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.1.0	https://github.com/extfuse/libfuse/commit/d2ed5539fc406008816e9c65b44e2f1d0554ffbe
refs/tags/fuse-3.1.1	4dba7c3bb9ce4cc179d5557ea9fa3da7344a1eee	tag	4be90a6f9a9f242b1f480024a7cb3c749fcf5390	commit	2017-08-06T13:25:04+02:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.1.1	https://github.com/extfuse/libfuse/commit/4be90a6f9a9f242b1f480024a7cb3c749fcf5390
refs/tags/fuse-3.2.0	04ad37016fc2db37469e99f26fdd5e58fbe969c8	tag	cfdca8c6a0f901f409d0a66dd158bd6c8b470bb6	commit	2017-09-12T14:50:27+01:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.0	https://github.com/extfuse/libfuse/commit/cfdca8c6a0f901f409d0a66dd158bd6c8b470bb6
refs/tags/fuse-3.2.1	7284900737bda8826cd24b492623f85e92e32918	tag	ae2cb7bd98f2f63b1b86320d7b8f0622d9a971d9	commit	2017-11-14T20:48:24Z	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.1	https://github.com/extfuse/libfuse/commit/ae2cb7bd98f2f63b1b86320d7b8f0622d9a971d9
refs/tags/fuse-3.2.2	44eed84933b0c1e3767062a2975d7b2d80113ab2	tag	f83695864f21e3d478207b2bce1a2c200d43367f	commit	2018-03-31T13:13:19+01:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.2	https://github.com/extfuse/libfuse/commit/f83695864f21e3d478207b2bce1a2c200d43367f
refs/tags/fuse-3.2.3	50af330a49ae2b0b63e19dbd8af222ed26c57880	tag	88da32d665eb3372f590675a5642c52f11c3ca03	commit	2018-05-11T15:01:44+01:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.3	https://github.com/extfuse/libfuse/commit/88da32d665eb3372f590675a5642c52f11c3ca03
refs/tags/fuse-3.2.4	121e59175b9da54294f2bafdf8f8ec03e4af1bfc	tag	9b74ebdf1b995a3ce56349880287b35f649d0690	commit	2018-07-11T10:34:48+01:00	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.4	https://github.com/extfuse/libfuse/commit/9b74ebdf1b995a3ce56349880287b35f649d0690
refs/tags/fuse-3.2.5	86dc68c65d3ddfddce15955d6db4f9b6806fa1dc	tag	932f4190e2b65419cef9960e27a7f94fcab9c816	commit	2018-07-24T07:45:33+01:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.5	https://github.com/extfuse/libfuse/commit/932f4190e2b65419cef9960e27a7f94fcab9c816
refs/tags/fuse-3.2.6	569e6ba128eb9e958c61fab62d2606063f6b0de8	tag	67e4914f938259182fa84e1e941c724a14d605c0	commit	2018-08-31T13:48:04+02:00	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.2.6	https://github.com/extfuse/libfuse/commit/67e4914f938259182fa84e1e941c724a14d605c0
refs/tags/fuse-3.3.0	64005f50885245b28fc0055e101948c1451997a7	tag	3e2fcf3a630e575bc420df254525834504dc01b7	commit	2018-11-06T18:58:08Z	Tagged release.	https://github.com/extfuse/libfuse/releases/tag/fuse-3.3.0	https://github.com/extfuse/libfuse/commit/3e2fcf3a630e575bc420df254525834504dc01b7
refs/tags/fuse-3.4.1	ebd3a529178f84816e40476b3afc3aa55c110204	tag	00fcda459bb82c556478a00dbb0c24dedda6080c	commit	2018-12-22T14:45:30Z	Tagged release	https://github.com/extfuse/libfuse/releases/tag/fuse-3.4.1	https://github.com/extfuse/libfuse/commit/00fcda459bb82c556478a00dbb0c24dedda6080c
refs/tags/fuse_0_9	0a7077f5364454de39fb1ac486d4bd233aa11798	commit			2001-11-11T18:20:17Z	x	https://github.com/extfuse/libfuse/releases/tag/fuse_0_9	https://github.com/extfuse/libfuse/commit/0a7077f5364454de39fb1ac486d4bd233aa11798
refs/tags/fuse_0_95	ddc862a82407f1eb951eb0f021c7511c47535538	commit			2002-01-09T13:46:10Z	release preparations	https://github.com/extfuse/libfuse/releases/tag/fuse_0_95	https://github.com/extfuse/libfuse/commit/ddc862a82407f1eb951eb0f021c7511c47535538
refs/tags/fuse_1_1	8812479463fe0904388037b27a170ecc4510ab32	commit			2004-02-04T11:06:17Z	1.1 release	https://github.com/extfuse/libfuse/releases/tag/fuse_1_1	https://github.com/extfuse/libfuse/commit/8812479463fe0904388037b27a170ecc4510ab32
refs/tags/fuse_1_1_post1	140a7c9a98a31fb3dbc1979e6da95cb03c7bea1f	commit			2004-02-12T13:41:31Z	This commit was manufactured by cvs2svn to create tag 'fuse_1_1_post1'.	https://github.com/extfuse/libfuse/releases/tag/fuse_1_1_post1	https://github.com/extfuse/libfuse/commit/140a7c9a98a31fb3dbc1979e6da95cb03c7bea1f
refs/tags/fuse_1_1_pre1	e5948dcc4e0d2d9a33dfec33edbfaff07d66c8f8	commit			2004-01-07T13:17:33Z	This commit was manufactured by cvs2svn to create tag 'fuse_1_1_pre1'.	https://github.com/extfuse/libfuse/releases/tag/fuse_1_1_pre1	https://github.com/extfuse/libfuse/commit/e5948dcc4e0d2d9a33dfec33edbfaff07d66c8f8
refs/tags/fuse_1_1_pre2	8b7a27a944462227a4b8fb12b0572f96eab468a2	commit			2004-01-26T16:05:34Z	*** empty log message ***	https://github.com/extfuse/libfuse/releases/tag/fuse_1_1_pre2	https://github.com/extfuse/libfuse/commit/8b7a27a944462227a4b8fb12b0572f96eab468a2
refs/tags/fuse_1_2	4190f0da990f04c01e379d21584c8c7597f079e4	commit			2004-06-22T10:58:37Z	add release notes to NEWS	https://github.com/extfuse/libfuse/releases/tag/fuse_1_2	https://github.com/extfuse/libfuse/commit/4190f0da990f04c01e379d21584c8c7597f079e4
refs/tags/fuse_1_3	d14d8d93d802748dade06bcc144323f1b557241e	commit			2004-07-14T20:26:31Z	release 1.3	https://github.com/extfuse/libfuse/releases/tag/fuse_1_3	https://github.com/extfuse/libfuse/commit/d14d8d93d802748dade06bcc144323f1b557241e
refs/tags/fuse_1_4	4db49b5c1c8166f165bd32393b61bf69187aa050	commit			2004-10-14T12:40:35Z	version 1.4	https://github.com/extfuse/libfuse/releases/tag/fuse_1_4	https://github.com/extfuse/libfuse/commit/4db49b5c1c8166f165bd32393b61bf69187aa050
refs/tags/fuse_1_9	127d49b0ef823cd8d7e6b83648f982566eab0016	commit			2004-10-14T13:33:39Z	version 1.9	https://github.com/extfuse/libfuse/releases/tag/fuse_1_9	https://github.com/extfuse/libfuse/commit/127d49b0ef823cd8d7e6b83648f982566eab0016
refs/tags/fuse_2_0_merge1	f3007f1833c50be71074ec29ff8614f34b2e05d2	commit			2004-11-10T12:09:33Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_merge1	https://github.com/extfuse/libfuse/commit/f3007f1833c50be71074ec29ff8614f34b2e05d2
refs/tags/fuse_2_0_merge2	d1a835e7a5624c7ce265f8e523599b2285c70c85	commit			2004-11-11T10:05:18Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_merge2	https://github.com/extfuse/libfuse/commit/d1a835e7a5624c7ce265f8e523599b2285c70c85
refs/tags/fuse_2_0_merge3	f208f8989f2f11d95eb8e92dd6be012f1364c3df	commit			2004-11-20T10:53:22Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_merge3	https://github.com/extfuse/libfuse/commit/f208f8989f2f11d95eb8e92dd6be012f1364c3df
refs/tags/fuse_2_0_merge4	c68ca945dc13e36566be04d30b8c45129c925b9e	commit			2004-11-29T23:28:04Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_merge4	https://github.com/extfuse/libfuse/commit/c68ca945dc13e36566be04d30b8c45129c925b9e
refs/tags/fuse_2_0_merge5	ee14a5a87590c62784f8345096da3e619a6c7e04	commit			2004-12-01T18:05:27Z	move linux/fuse.h to fuse_kernel.h	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_merge5	https://github.com/extfuse/libfuse/commit/ee14a5a87590c62784f8345096da3e619a6c7e04
refs/tags/fuse_2_0_pre0	dc2767d740168485ceb9db7c8ed4004cd5d79032	commit			2004-11-01T16:01:06Z	This commit was manufactured by cvs2svn to create tag 'fuse_2_0_pre0'.	https://github.com/extfuse/libfuse/releases/tag/fuse_2_0_pre0	https://github.com/extfuse/libfuse/commit/dc2767d740168485ceb9db7c8ed4004cd5d79032
refs/tags/fuse_2_1	da60b29bd900c1d16e480fa1d20f557275b85cff	commit			2004-12-03T14:35:21Z	release 2.1	https://github.com/extfuse/libfuse/releases/tag/fuse_2_1	https://github.com/extfuse/libfuse/commit/da60b29bd900c1d16e480fa1d20f557275b85cff
refs/tags/fuse_2_1_pre0	def69883671db8f3b13a11d8b92252f52f81904e	commit			2004-11-10T15:06:49Z	release 2.1-pre0	https://github.com/extfuse/libfuse/releases/tag/fuse_2_1_pre0	https://github.com/extfuse/libfuse/commit/def69883671db8f3b13a11d8b92252f52f81904e
refs/tags/fuse_2_1_pre1	ff6ba3e66bd0a8eb80974783b4152207230b1f19	commit			2004-11-14T08:27:26Z	version change	https://github.com/extfuse/libfuse/releases/tag/fuse_2_1_pre1	https://github.com/extfuse/libfuse/commit/ff6ba3e66bd0a8eb80974783b4152207230b1f19
refs/tags/fuse_2_2	7ed2e5d408037e04cb74fd275822ebbceab6b788	commit			2005-02-02T13:31:14Z	relased 2.2	https://github.com/extfuse/libfuse/releases/tag/fuse_2_2	https://github.com/extfuse/libfuse/commit/7ed2e5d408037e04cb74fd275822ebbceab6b788
refs/tags/fuse_2_2_1	80a5a938a95dbd9b830984415e4a20f62ab2872e	commit			2005-03-09T09:23:06Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_2_1	https://github.com/extfuse/libfuse/commit/80a5a938a95dbd9b830984415e4a20f62ab2872e
refs/tags/fuse_2_2_merge1	703028c763ccfa99709e12dcfe3255d5b4a8d2c1	commit			2005-03-20T20:19:21Z	fix	https://github.com/extfuse/libfuse/releases/tag/fuse_2_2_merge1	https://github.com/extfuse/libfuse/commit/703028c763ccfa99709e12dcfe3255d5b4a8d2c1
