ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/v4.13-rc7	b2123ad40c157bcafa5ca501f77b41dccbdba098	tag	cc4a41fe5541a73019a864883297bd5043aa6d98	commit	2017-08-27T17:20:50-07:00	Linux 4.13-rc7	https://github.com/extfuse/linux/releases/tag/v4.13-rc7	https://github.com/extfuse/linux/commit/cc4a41fe5541a73019a864883297bd5043aa6d98
refs/tags/v4.14	e3d97e8db5c45dfe3e4c70252acc5f4edea172b7	tag	bebc6082da0a9f5d47a1ea2edc099bf671058bd4	commit	2017-11-12T10:46:21-08:00	Linux 4.14	https://github.com/extfuse/linux/releases/tag/v4.14	https://github.com/extfuse/linux/commit/bebc6082da0a9f5d47a1ea2edc099bf671058bd4
refs/tags/v4.14-rc1	9a7101adf0fbde19a069b6ebca1dde8954daef29	tag	2bd6bf03f4c1c59381d62c61d03f6cc3fe71f66e	commit	2017-09-16T15:48:02-07:00	Linux 4.14-rc1	https://github.com/extfuse/linux/releases/tag/v4.14-rc1	https://github.com/extfuse/linux/commit/2bd6bf03f4c1c59381d62c61d03f6cc3fe71f66e
refs/tags/v4.14-rc2	eab260db417449f5c6500319c9d2f3fc33087051	tag	e19b205be43d11bff638cad4487008c48d21c103	commit	2017-09-24T16:39:03-07:00	Linux 4.14-rc2	https://github.com/extfuse/linux/releases/tag/v4.14-rc2	https://github.com/extfuse/linux/commit/e19b205be43d11bff638cad4487008c48d21c103
refs/tags/v4.14-rc3	fe3de06298537055613b96424db9ede87266cd7c	tag	9e66317d3c92ddaab330c125dfe9d06eee268aff	commit	2017-10-01T14:55:06-07:00	Linux 4.14-rc3	https://github.com/extfuse/linux/releases/tag/v4.14-rc3	https://github.com/extfuse/linux/commit/9e66317d3c92ddaab330c125dfe9d06eee268aff
refs/tags/v4.14-rc4	f82861df06a7d05108bc837aecfed97534784929	tag	8a5776a5f49812d29fe4b2d0a2d71675c3facf3f	commit	2017-10-08T20:53:48-07:00	Linux 4.14-rc4	https://github.com/extfuse/linux/releases/tag/v4.14-rc4	https://github.com/extfuse/linux/commit/8a5776a5f49812d29fe4b2d0a2d71675c3facf3f
refs/tags/v4.14-rc5	6653fe5d1e2bf528bde9b86658eb31ab039ad60b	tag	33d930e59a98fa10a0db9f56c7fa2f21a4aef9b9	commit	2017-10-15T21:01:24-04:00	Linux 4.14-rc5	https://github.com/extfuse/linux/releases/tag/v4.14-rc5	https://github.com/extfuse/linux/commit/33d930e59a98fa10a0db9f56c7fa2f21a4aef9b9
refs/tags/v4.14-rc6	cbbcc7e4ec6e68930eb608960dae4159d5aaa0a3	tag	bb176f67090ca54869fc1262c913aa69d2ede070	commit	2017-10-23T06:49:58-04:00	Linux 4.14-rc6	https://github.com/extfuse/linux/releases/tag/v4.14-rc6	https://github.com/extfuse/linux/commit/bb176f67090ca54869fc1262c913aa69d2ede070
refs/tags/v4.14-rc7	0242b86da86562ca68d816dc7a7ebb6dafff0fe5	tag	0b07194bb55ed836c2cc7c22e866b87a14681984	commit	2017-10-29T13:58:45-07:00	Linux 4.14-rc7	https://github.com/extfuse/linux/releases/tag/v4.14-rc7	https://github.com/extfuse/linux/commit/0b07194bb55ed836c2cc7c22e866b87a14681984
refs/tags/v4.14-rc8	b60ed69f0d467074fba635278de2df54daf43d3b	tag	39dae59d66acd86d1de24294bd2f343fd5e7a625	commit	2017-11-05T13:05:26-08:00	Linux 4.14-rc8	https://github.com/extfuse/linux/releases/tag/v4.14-rc8	https://github.com/extfuse/linux/commit/39dae59d66acd86d1de24294bd2f343fd5e7a625
refs/tags/v4.15	f5b7ec87f701326704545ebfc8fe4a2aa42086aa	tag	d8a5b80568a9cb66810e75b182018e9edb68e8ff	commit	2018-01-28T13:20:41-08:00	Linux 4.15	https://github.com/extfuse/linux/releases/tag/v4.15	https://github.com/extfuse/linux/commit/d8a5b80568a9cb66810e75b182018e9edb68e8ff
refs/tags/v4.15-rc1	2fd4bf77c3d8ccceaf6bdaa507ee4cf94e1a2ca5	tag	4fbd8d194f06c8a3fd2af1ce560ddb31f7ec8323	commit	2017-11-26T16:01:57-08:00	Linux 4.15-rc1	https://github.com/extfuse/linux/releases/tag/v4.15-rc1	https://github.com/extfuse/linux/commit/4fbd8d194f06c8a3fd2af1ce560ddb31f7ec8323
